"filename", "language", "C#", "HLSL", "JSON", "ShaderLab", "comment", "blank", "total"
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\ActionSystem\ActionSystem.cs", "C#", 27, 0, 0, 0, 0, 9, 36
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\ActionSystem\PlayerAction\PlayerAction.cs", "C#", 60, 0, 0, 0, 0, 11, 71
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\DeckSystem.cs", "C#", 66, 0, 0, 0, 22, 20, 108
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\DiceSystem.cs", "C#", 281, 0, 0, 0, 15, 66, 362
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseControllerSystem.cs", "C#", 59, 0, 0, 0, 0, 12, 71
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\ActionPhaseState.cs", "C#", 77, 0, 0, 0, 0, 13, 90
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\EndPhaseState.cs", "C#", 44, 0, 0, 0, 0, 7, 51
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\GameEndState.cs", "C#", 28, 0, 0, 0, 0, 5, 33
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\GamePhaseEnum.cs", "C#", 16, 0, 0, 0, 0, 2, 18
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\GamePhaseState.cs", "C#", 37, 0, 0, 0, 0, 5, 42
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\GameStartState.cs", "C#", 190, 0, 0, 0, 0, 33, 223
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\GamePhaseControllerSystem\GamePhaseState\ThrowingPhaseState.cs", "C#", 40, 0, 0, 0, 0, 11, 51
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\IGameSystem.cs", "C#", 19, 0, 0, 0, 0, 5, 24
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\InputSystem\IClickReceiver.cs", "C#", 7, 0, 0, 0, 0, 0, 7
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\InputSystem\IHoverReceiver.cs", "C#", 8, 0, 0, 0, 0, 0, 8
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\InputSystem\InputSystem.cs", "C#", 75, 0, 0, 0, 1, 24, 100
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerField\AssitField.cs", "C#", 15, 0, 0, 0, 0, 8, 23
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerField\CharacterField.cs", "C#", 26, 0, 0, 0, 0, 13, 39
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerField\DiceField.cs", "C#", 19, 0, 0, 0, 0, 8, 27
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerField\HandsField.cs", "C#", 19, 0, 0, 0, 0, 7, 26
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerField\IPlayerField.cs", "C#", 11, 0, 0, 0, 0, 5, 16
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerField\SummonField.cs", "C#", 15, 0, 0, 0, 0, 8, 23
"e:\GAME\ElementDuel\Assets\Scripts\GameSystem\PlayerStstem\PlayerSystem.cs", "C#", 107, 0, 0, 0, 6, 23, 136
"e:\GAME\ElementDuel\Assets\Scripts\Log\EDebug.cs", "C#", 39, 0, 0, 0, 6, 8, 53
"e:\GAME\ElementDuel\Assets\Scripts\Log\LogLevel.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"e:\GAME\ElementDuel\Assets\Scripts\Mono\AssistCardView.cs", "C#", 31, 0, 0, 0, 9, 14, 54
"e:\GAME\ElementDuel\Assets\Scripts\Mono\AssistGroupView.cs", "C#", 3, 0, 0, 0, 0, 3, 6
"e:\GAME\ElementDuel\Assets\Scripts\Mono\BuffView.cs", "C#", 29, 0, 0, 0, 6, 7, 42
"e:\GAME\ElementDuel\Assets\Scripts\Mono\CharCardView.cs", "C#", 177, 0, 0, 0, 21, 57, 255
"e:\GAME\ElementDuel\Assets\Scripts\Mono\CharGroupView.cs", "C#", 85, 0, 0, 0, 0, 16, 101
"e:\GAME\ElementDuel\Assets\Scripts\Mono\CostDiceView.cs", "C#", 76, 0, 0, 0, 2, 12, 90
"e:\GAME\ElementDuel\Assets\Scripts\Mono\DiceGroupView.cs", "C#", 33, 0, 0, 0, 0, 6, 39
"e:\GAME\ElementDuel\Assets\Scripts\Mono\DiceView.cs", "C#", 91, 0, 0, 0, 4, 16, 111
"e:\GAME\ElementDuel\Assets\Scripts\Mono\EffectView.cs", "C#", 88, 0, 0, 0, 2, 12, 102
"e:\GAME\ElementDuel\Assets\Scripts\Mono\ElementDiceSetup.cs", "C#", 44, 0, 0, 0, 2, 4, 50
"e:\GAME\ElementDuel\Assets\Scripts\Mono\ElementIconSetup.cs", "C#", 78, 0, 0, 0, 2, 7, 87
"e:\GAME\ElementDuel\Assets\Scripts\Mono\ElementView.cs", "C#", 55, 0, 0, 0, 2, 8, 65
"e:\GAME\ElementDuel\Assets\Scripts\Mono\EnergyView.cs", "C#", 40, 0, 0, 0, 2, 11, 53
"e:\GAME\ElementDuel\Assets\Scripts\Mono\GameSetup.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"e:\GAME\ElementDuel\Assets\Scripts\Mono\HandsGroupView.cs", "C#", 90, 0, 0, 0, 2, 23, 115
"e:\GAME\ElementDuel\Assets\Scripts\Mono\HandsView.cs", "C#", 112, 0, 0, 0, 5, 28, 145
"e:\GAME\ElementDuel\Assets\Scripts\Mono\PlayerGroupView.cs", "C#", 35, 0, 0, 0, 0, 13, 48
"e:\GAME\ElementDuel\Assets\Scripts\Mono\SkillGroupView.cs", "C#", 35, 0, 0, 0, 0, 8, 43
"e:\GAME\ElementDuel\Assets\Scripts\Mono\SkillView.cs", "C#", 55, 0, 0, 0, 2, 15, 72
"e:\GAME\ElementDuel\Assets\Scripts\Mono\SummonCardView.cs", "C#", 35, 0, 0, 0, 5, 12, 52
"e:\GAME\ElementDuel\Assets\Scripts\Test\GenGO.cs", "C#", 20, 0, 0, 0, 2, 3, 25
"e:\GAME\ElementDuel\Assets\Scripts\Test\TestMono.cs", "C#", 25, 0, 0, 0, 2, 5, 32
"e:\GAME\ElementDuel\Assets\Scripts\Tools\UITools.cs", "C#", 36, 0, 0, 0, 0, 5, 41
"e:\GAME\ElementDuel\Assets\Scripts\Tools\UnityTools.cs", "C#", 56, 0, 0, 0, 0, 7, 63
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\AssistUI.cs", "C#", 28, 0, 0, 0, 0, 9, 37
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\BattleUI.cs", "C#", 35, 0, 0, 0, 0, 12, 47
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\CharacterUI.cs", "C#", 52, 0, 0, 0, 0, 15, 67
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\CurrentHandsUI.cs", "C#", 28, 0, 0, 0, 3, 9, 40
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\DiceUI.cs", "C#", 35, 0, 0, 0, 3, 9, 47
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\IUserInterface.cs", "C#", 31, 0, 0, 0, 0, 11, 42
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\InfoUI.cs", "C#", 46, 0, 0, 0, 0, 13, 59
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\SkillUI.cs", "C#", 25, 0, 0, 0, 3, 8, 36
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\StartUI.cs", "C#", 87, 0, 0, 0, 0, 19, 106
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\ThrowUI.cs", "C#", 114, 0, 0, 0, 6, 21, 141
"e:\GAME\ElementDuel\Assets\Scripts\UISystem\UIPool.cs", "C#", 36, 0, 0, 0, 0, 6, 42
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "HLSL", 0, 130, 0, 0, 18, 31, 179
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 0, 0, 113, 2, 31, 146
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 0, 0, 123, 3, 30, 156
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 0, 0, 113, 2, 31, 146
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 0, 0, 0, 253, 4, 70, 327
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 0, 0, 253, 4, 65, 322
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 0, 198, 10, 51, 259
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 0, 193, 8, 52, 253
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 0, 82, 4, 21, 107
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "ShaderLab", 0, 0, 0, 290, 15, 85, 390
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 0, 192, 8, 51, 251
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 0, 104, 8, 28, 140
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 0, 123, 4, 33, 160
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 0, 253, 4, 70, 327
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 0, 111, 0, 21, 132
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 63, 0, 0, 2, 20, 85
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 129, 0, 0, 2, 35, 166
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 62, 0, 0, 6, 13, 81
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 75, 0, 0, 7, 18, 100
"e:\GAME\ElementDuel\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, 155, 0, 0, 2, 157
"Total", "-", 4738, 459, 155, 2401, 302, 1966, 10021
